Note,Medical_Condition,Recommended_Diet,Species,Age,Weight_kg,Temperature_C,Heart_Rate,Respiratory_Rate,Severity
"VETERINARY CASE NOTE

DATE: 5/12/2024
PATIENT ID: #73102
SPECIES: canine
AGE: 8 years
WEIGHT: 48.6 kg
TEMPERATURE: 38.5°C
HEART RATE: 126 bpm
RESPIRATORY RATE: 38 breaths/min
DIAGNOSIS: Leptospirosis (mild)

CLINICAL SIGNS:
Patient presented with jaundice, vomiting, kidney failure.
Owner reports symptoms began approximately 14 days ago.

PHYSICAL EXAMINATION:
Canine appears distressed.
Mucous membranes pink and moist. 
Lymph nodes not enlarged. 
Abdomen soft on palpation.

TREATMENT PLAN:
1. ampicillin: Start immediately
2. liver/kidney support: As directed
3. Monitor hydration status and electrolytes
4. Reassess in 9 days

DIETARY RECOMMENDATIONS:
Low protein, kidney-friendly diet with increased hydration

FOLLOW-UP:
Schedule recheck appointment in 24 days.
Contact clinic immediately if symptoms worsen.
Bloodwork to be repeated at recheck to assess response to treatment.

Dr. Davis
Veterinary License #34360
",Leptospirosis,DIETARY RECOMMENDATIONS:,canine,8.0,48.6,38.5,126.0,38.0,mild
"VETERINARY CASE NOTE

DATE: 16/1/2024
PATIENT ID: #52406
SPECIES: canine
AGE: 3 years
WEIGHT: 19.5 kg
TEMPERATURE: 40.1°C
HEART RATE: 136 bpm
RESPIRATORY RATE: 18 breaths/min
DIAGNOSIS: Leptospirosis (severe)

CLINICAL SIGNS:
Patient presented with jaundice, abdominal pain, vomiting.
Owner reports symptoms began approximately 11 days ago.

PHYSICAL EXAMINATION:
Canine appears lethargic.
Mild dehydration noted. 
Slight lymphadenopathy. 
Mild abdominal tenderness.

TREATMENT PLAN:
1. liver/kidney support: Start immediately
2. ampicillin: As directed
3. Monitor hydration status and electrolytes
4. Reassess in 4 days

DIETARY RECOMMENDATIONS:
Low protein, kidney-friendly diet with increased hydration

FOLLOW-UP:
Schedule recheck appointment in 10 days.
Contact clinic immediately if symptoms worsen.
Bloodwork to be repeated at recheck to assess response to treatment.

Dr. Johnson
Veterinary License #63481
",Leptospirosis,DIETARY RECOMMENDATIONS:,canine,3.0,19.5,40.1,136.0,18.0,severe
"VETERINARY CASE NOTE

DATE: 17/5/2024
PATIENT ID: #78932
SPECIES: feline
AGE: 1 years
WEIGHT: 32.4 kg
TEMPERATURE: 40.5°C
HEART RATE: 60 bpm
RESPIRATORY RATE: 26 breaths/min
DIAGNOSIS: Leptospirosis (moderate)

CLINICAL SIGNS:
Patient presented with abdominal pain, vomiting, fever.
Owner reports symptoms began approximately 14 days ago.

PHYSICAL EXAMINATION:
Feline appears alert but stressed.
Mucous membranes pale. 
Lymph nodes not enlarged. 
Significant pain on abdominal palpation.

TREATMENT PLAN:
1. fluid therapy: Start immediately
2. liver/kidney support: As directed
3. Monitor hydration status and electrolytes
4. Reassess in 12 days

DIETARY RECOMMENDATIONS:
Low protein, kidney-friendly diet with increased hydration

FOLLOW-UP:
Schedule recheck appointment in 23 days.
Contact clinic immediately if symptoms worsen.
Bloodwork to be repeated at recheck to assess response to treatment.

Dr. Smith
Veterinary License #64595
",Leptospirosis,DIETARY RECOMMENDATIONS:,feline,1.0,32.4,40.5,60.0,26.0,moderate
"VETERINARY CASE NOTE

DATE: 17/11/2024
PATIENT ID: #91746
SPECIES: canine
AGE: 7 years
WEIGHT: 41.1 kg
TEMPERATURE: 37.9°C
HEART RATE: 113 bpm
RESPIRATORY RATE: 19 breaths/min
DIAGNOSIS: Addison's Disease (severe)

CLINICAL SIGNS:
Patient presented with lethargy, weakness, weight loss.
Owner reports symptoms began approximately 12 days ago.

PHYSICAL EXAMINATION:
Canine appears distressed.
Mucous membranes pale. 
Moderate enlargement of submandibular lymph nodes. 
Abdomen soft on palpation.

TREATMENT PLAN:
1. stress management: Start immediately
2. prednisone: As directed
3. Monitor hydration status and electrolytes
4. Reassess in 9 days

DIETARY RECOMMENDATIONS:
High-sodium diet with balanced nutrients

FOLLOW-UP:
Schedule recheck appointment in 25 days.
Contact clinic immediately if symptoms worsen.
Bloodwork to be repeated at recheck to assess response to treatment.

Dr. Williams
Veterinary License #33391
",Addison's Disease,DIETARY RECOMMENDATIONS:,canine,7.0,41.1,37.9,113.0,19.0,severe
"VETERINARY CASE NOTE

DATE: 19/12/2024
PATIENT ID: #27170
SPECIES: feline
AGE: 11 years
WEIGHT: 7.6 kg
TEMPERATURE: 40.0°C
HEART RATE: 145 bpm
RESPIRATORY RATE: 24 breaths/min
DIAGNOSIS: Addison's Disease (severe)

CLINICAL SIGNS:
Patient presented with low blood pressure, lethargy, weight loss.
Owner reports symptoms began approximately 1 days ago.

PHYSICAL EXAMINATION:
Feline appears lethargic.
Mucous membranes pink and moist. 
Moderate enlargement of submandibular lymph nodes. 
Mild abdominal tenderness.

TREATMENT PLAN:
1. prednisone: Start immediately
2. fludrocortisone: As directed
3. Monitor hydration status and electrolytes
4. Reassess in 4 days

DIETARY RECOMMENDATIONS:
High-sodium diet with balanced nutrients

FOLLOW-UP:
Schedule recheck appointment in 27 days.
Contact clinic immediately if symptoms worsen.
Bloodwork to be repeated at recheck to assess response to treatment.

Dr. Williams
Veterinary License #30876
",Addison's Disease,DIETARY RECOMMENDATIONS:,feline,11.0,7.6,40.0,145.0,24.0,severe
"VETERINARY CASE NOTE

DATE: 20/1/2024
PATIENT ID: #23733
SPECIES: canine
AGE: 7 years
WEIGHT: 22.7 kg
TEMPERATURE: 38.6°C
HEART RATE: 178 bpm
RESPIRATORY RATE: 10 breaths/min
DIAGNOSIS: Addison's Disease (moderate)

CLINICAL SIGNS:
Patient presented with vomiting, weight loss, weakness.
Owner reports symptoms began approximately 8 days ago.

PHYSICAL EXAMINATION:
Canine appears quiet but responsive.
Mucous membranes pale. 
Moderate enlargement of submandibular lymph nodes. 
Abdomen soft on palpation.

TREATMENT PLAN:
1. prednisone: Start immediately
2. stress management: As directed
3. Monitor hydration status and electrolytes
4. Reassess in 8 days

DIETARY RECOMMENDATIONS:
High-sodium diet with balanced nutrients

FOLLOW-UP:
Schedule recheck appointment in 18 days.
Contact clinic immediately if symptoms worsen.
Bloodwork to be repeated at recheck to assess response to treatment.

Dr. Davis
Veterinary License #39879
",Addison's Disease,DIETARY RECOMMENDATIONS:,canine,7.0,22.7,38.6,178.0,10.0,moderate
"VETERINARY CASE NOTE

DATE: 5/6/2024
PATIENT ID: #18718
SPECIES: sheep
AGE: 9 years
WEIGHT: 45.4 kg
TEMPERATURE: 40.5°C
HEART RATE: 94 bpm
RESPIRATORY RATE: 24 breaths/min
DIAGNOSIS: Pasteurellosis (severe)

CLINICAL SIGNS:
Patient presented with nasal discharge, sneezing, abscesses.
Owner reports symptoms began approximately 9 days ago.

PHYSICAL EXAMINATION:
Sheep appears quiet but responsive.
Mucous membranes pale. 
Slight lymphadenopathy. 
Abdomen soft on palpation.

TREATMENT PLAN:
1. enrofloxacin: Start immediately
2. supportive care: As directed
3. Monitor hydration status and electrolytes
4. Reassess in 6 days

DIETARY RECOMMENDATIONS:
High-quality diet with immune-boosting supplements

FOLLOW-UP:
Schedule recheck appointment in 7 days.
Contact clinic immediately if symptoms worsen.
Bloodwork to be repeated at recheck to assess response to treatment.

Dr. Davis
Veterinary License #92041
",Pasteurellosis,DIETARY RECOMMENDATIONS:,sheep,9.0,45.4,40.5,94.0,24.0,severe
"VETERINARY CASE NOTE

DATE: 17/10/2024
PATIENT ID: #16129
SPECIES: cattle
AGE: 6 years
WEIGHT: 9.7 kg
TEMPERATURE: 38.6°C
HEART RATE: 70 bpm
RESPIRATORY RATE: 33 breaths/min
DIAGNOSIS: Pasteurellosis (moderate)

CLINICAL SIGNS:
Patient presented with conjunctivitis, abscesses, sneezing.
Owner reports symptoms began approximately 1 days ago.

PHYSICAL EXAMINATION:
Cattle appears quiet but responsive.
Hydration status adequate. 
Slight lymphadenopathy. 
Significant pain on abdominal palpation.

TREATMENT PLAN:
1. trimethoprim-sulfa: Start immediately
2. supportive care: As directed
3. Monitor hydration status and electrolytes
4. Reassess in 8 days

DIETARY RECOMMENDATIONS:
High-quality diet with immune-boosting supplements

FOLLOW-UP:
Schedule recheck appointment in 22 days.
Contact clinic immediately if symptoms worsen.
Bloodwork to be repeated at recheck to assess response to treatment.

Dr. Smith
Veterinary License #17038
",Pasteurellosis,DIETARY RECOMMENDATIONS:,cattle,6.0,9.7,38.6,70.0,33.0,moderate
"VETERINARY CASE NOTE

DATE: 4/6/2024
PATIENT ID: #21223
SPECIES: sheep
AGE: 3 years
WEIGHT: 9.9 kg
TEMPERATURE: 40.3°C
HEART RATE: 134 bpm
RESPIRATORY RATE: 15 breaths/min
DIAGNOSIS: Pasteurellosis (severe)

CLINICAL SIGNS:
Patient presented with abscesses, conjunctivitis, respiratory issues.
Owner reports symptoms began approximately 4 days ago.

PHYSICAL EXAMINATION:
Sheep appears lethargic.
Mucous membranes pink and moist. 
Lymph nodes not enlarged. 
Mild abdominal tenderness.

TREATMENT PLAN:
1. wound cleaning: Start immediately
2. supportive care: As directed
3. Monitor hydration status and electrolytes
4. Reassess in 4 days

DIETARY RECOMMENDATIONS:
High-quality diet with immune-boosting supplements

FOLLOW-UP:
Schedule recheck appointment in 17 days.
Contact clinic immediately if symptoms worsen.
Bloodwork to be repeated at recheck to assess response to treatment.

Dr. Miller
Veterinary License #87779
",Pasteurellosis,DIETARY RECOMMENDATIONS:,sheep,3.0,9.9,40.3,134.0,15.0,severe
"VETERINARY CASE NOTE

DATE: 8/10/2024
PATIENT ID: #38962
SPECIES: feline
AGE: 1 years
WEIGHT: 40.1 kg
TEMPERATURE: 38.6°C
HEART RATE: 66 bpm
RESPIRATORY RATE: 12 breaths/min
DIAGNOSIS: Feline Immunodeficiency Virus (mild)

CLINICAL SIGNS:
Patient presented with fever, weight loss, chronic infections.
Owner reports symptoms began approximately 9 days ago.

PHYSICAL EXAMINATION:
Feline appears quiet but responsive.
Mild dehydration noted. 
Moderate enlargement of submandibular lymph nodes. 
Significant pain on abdominal palpation.

TREATMENT PLAN:
1. supportive care: Start immediately
2. regular monitoring: As directed
3. Monitor hydration status and electrolytes
4. Reassess in 3 days

DIETARY RECOMMENDATIONS:
High-calorie, nutrient-dense diet with immune support

FOLLOW-UP:
Schedule recheck appointment in 19 days.
Contact clinic immediately if symptoms worsen.
Bloodwork to be repeated at recheck to assess response to treatment.

Dr. Williams
Veterinary License #91411
",Feline Immunodeficiency Virus,DIETARY RECOMMENDATIONS:,feline,1.0,40.1,38.6,66.0,12.0,mild
